Instrumentals,writer,school,co-writer,date,assistant,Record Status,recording,publisher,ISWC,ISRC,Tuning,ASCAP,©,midi,s/I/k,year,assist,notes,t,u,v,w,x
The Moon is the Star of the Night,Paul Reisler,Tye River,K.P. Alley,40810.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Edge of Tommorrow,Paul Reisler,Tye River,K.P. Alley,40810.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
No Place Like Virginia,Paul Reisler,Tye River,K.P. Alley,40810.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Drawing a Picture of My Family,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
If Everything in the World Was Free,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Stars Send Their Messages,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
If You Found a Thousand Dollars,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
I Could be the King of Brooklyn,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
I Wonder What Will Happen Next,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
I'd Like to Take a Walk on the Moon,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Thunder is the Sound of God Laughing,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
My First Day of School,Paul Reisler,Yung,K.P. Alley,40831.0,Heather Mae,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
The Road That Never Ends,Paul Reisler,Brumfield,K.P. Alley,40836.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Bouncing Off the Walls,Paul Reisler,Brumfield,K.P. Alley,40836.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
When I Give Thanks,Paul Reisler,Brumfield,K.P. Alley,40836.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Don't mess with the Trees,Paul Reisler,Brumfield,K.P. Alley,40836.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Bunker Hill,Paul Reisler,Bunker Hill,K.P. Alley,40850.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17974,,41051.0,,,,,,,,,,,
The Truth is Getting Old,Paul Reisler,Bunker Hill,K.P. Alley,40850.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17973,,41051.0,,,,,,,,,,,
Confetti Ice Cream,Paul Reisler,Bunker Hill,K.P. Alley,40850.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17975,,41051.0,,,,,,,,,,,
Talking to the Wind,Paul Reisler,Bunker Hill,K.P. Alley,40850.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17976,,41051.0,,,,,,,,,,,
Taking Flight,Paul Reisler,Savoy,K.P. Alley,40853.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17969,,41051.0,,,,,,,,,,,
She Never Gives Up on Me,Paul Reisler,Savoy,K.P. Alley,40854.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17970,,41051.0,,,,,,,,,,,
I'm gonna Paint a Picture,Paul Reisler,Savoy,K.P. Alley,40855.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17971,,41051.0,,,,,,,,,,,
Tired of jingle Bells,Paul Reisler,Savoy,K.P. Alley,40856.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17972,,41051.0,,,,,,,,,,,
Addicted to My Phone,Paul Reisler,Noyes,K.P. Alley,40856.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17981,,41051.0,,,,,,,,,,,
today We Thank the Veterans,Paul Reisler,Noyes,K.P. Alley,40857.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17981,,41051.0,,,,,,,,,,,
I've Got a Problem,Paul Reisler,Noyes,K.P. Alley,40858.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17982,,41051.0,,,,,,,,,,,
Without My BFF,Paul Reisler,Noyes,K.P. Alley,40859.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17983,,41051.0,,,,,,,,,,,
The Big Man,Paul Reisler,Turner,K.P. Alley,40861.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17977,,41051.0,,,,,,,,,,,
"Too Much Oil, Trash and Dirt",Paul Reisler,Turner,K.P. Alley,40862.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17978,,41051.0,,,,,,,,,,,
Thousand Baby Turtles,Paul Reisler,Turner,K.P. Alley,40863.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17979,,41051.0,,,,,,,,,,,
Bright Lights of Paris,Paul Reisler,Patrick Henry,K.P. Alley,40865.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
My Grandpa,Paul Reisler,Patrick Henry,K.P. Alley,40866.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Hotter tthan Anger,Paul Reisler,Patrick Henry,K.P. Alley,40867.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Side By Side,Paul Reisler,Moten,K.P. Alley,40869.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17963,,41051.0,,,,,,,,,,,
Come to My house,Paul Reisler,Moten,K.P. Alley,40869.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17964,,41051.0,,,,,,,,,,,
I've got my Dreams in My Jewelry Box,Paul Reisler,Moten,K.P. Alley,40869.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17965,,41051.0,,,,,,,,,,,
I've Got an Apple Pie in My Bookbag,Paul Reisler,Moten,K.P. Alley,40869.0,Maureen Andary,,,Zoidsongs/Kid Pan Alley Music,,US-GCV-16-17967,,41051.0,,,,,,,,,,,
Only in My Head,Paul Reisler,Patrick Henry,K.P. Alley,40880.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
The Girl in the Window,Paul Reisler,Patrick Henry,K.P. Alley,40880.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
The Afterlife,Paul Reisler,Patrick Henry,K.P. Alley,40880.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Ba Da Ah Chon Do,Paul Reisler,Patrick Henry,K.P. Alley,40880.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
All of Us,Paul Reisler,Covington Schools,K.P. Alley,40915.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
As We Were Angels,Paul Reisler,Covington Schools,K.P. Alley,40915.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Birds in the Trees,Paul Reisler,Luray,K.P. Alley,41042.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Can I Count the Beauty,Paul Reisler,Kohala,K.P. Alley,40928.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Compassion,Paul Reisler,Orange,K.P. Alley,41012.0,Mary Alouette,,,Zoidsongs/Kid Pan Alley Music,,,,41089.0,,,,,,,,,,,
Dolphins are Rainbows,Paul Reisler,Kohala,K.P. Alley,40928.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Everyone's a Work of Art,Paul Reisler,Covington Schools,K.P. Alley,40915.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Fear of Letting Go,Paul Reisler,Covington Schools,K.P. Alley,40928.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Fearless,Paul Reisler,,Donna Britton,41062.0,,,,Zoisongs/Mountain Row Music,,,,41086.0,,,,,,,,,,,
Fight For Our Dreams,Paul Reisler,Luray,K.P. Alley,41062.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
First Song About Easter,paul Reisler,Fluvanna,K.P. Alley,40950.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Food is Incredible,Paul Reisler,Covington Schools,K.P. Alley,40928.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Forever,Paul Reisler,Kohala,K.P. Alley,40950.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Forever Together,paul Reisler,Fluvanna,K.P. Alley,40985.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Ganesh,Paul Reisler,Orange,K.P. Alley,41012.0,Mary Alouette,,,Zoidsongs/Kid Pan Alley Music,,,,41089.0,,,,,,,,,,,
Hate and Love,Paul Reisler,Covington Schools,K.P. Alley,40928.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Hold On,Paul Reisler,Covington Schools,K.P. Alley,40928.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
Hunter at Night,Paul Reisler,Luray,K.P. Alley,41042.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
I Always Wonder What's Inside,Paul Reisler,Second Stage,K.P. Alley,41064.0,Mandi Mihalik,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
I Know you Must be Sad to Leave,Paul Reisler,Ridge Ruxton,K.P. Alley,41019.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
"I Love Virginia, It's Myt Home",paul Reisler,Fluvanna,K.P. Alley,40985.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
I See the Beauty,Paul Reisler,Kohala,K.P. Alley,40950.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,41086.0,,,,,,,,,,,
